Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
"Sep 5, 2020",8:00 PM,Sat,Arkansas State,@,Memphis,American,L,24,37,0,1,L 1,
"Sep 12, 2020",12:00 PM,Sat,Arkansas State,@,Kansas State,Big 12,W,35,31,1,1,W 1,
"Oct 3, 2020",12:00 PM,Sat,Arkansas State,@,Coastal Carolina,Sun Belt,L,23,52,1,2,L 1,
"Oct 10, 2020",3:30 PM,Sat,Arkansas State,,Central Arkansas,Non-Major,W,50,27,2,2,W 1,
"Oct 15, 2020",7:30 PM,Thu,Arkansas State,,Georgia State,Sun Belt,W,59,52,3,2,W 2,
"Oct 22, 2020",7:30 PM,Thu,Arkansas State,@,Appalachian State,Sun Belt,L,17,45,3,3,L 1,
"Oct 31, 2020",3:00 PM,Sat,Arkansas State,,Troy,Sun Belt,L,10,38,3,4,L 2,
"Nov 7, 2020",12:00 PM,Sat,Arkansas State,@,Louisiana,Sun Belt,L,20,27,3,5,L 3,"Cajun Field - Lafayette, Louisiana"
"Nov 21, 2020",12:00 PM,Sat,Arkansas State,@,Texas State,Sun Belt,L,45,47,3,6,L 4,
"Nov 28, 2020",3:00 PM,Sat,Arkansas State,,South Alabama,Sun Belt,L,31,38,3,7,L 5,
"Dec 5, 2020",3:00 PM,Sat,Arkansas State,,Louisiana-Monroe,Sun Belt,W,48,15,4,7,W 1,
