Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
"Sep 19, 2020",12:00 PM,Sat,Boston College,@,Duke,ACC,W,26,6,1,0,W 1,
"Sep 26, 2020",6:00 PM,Sat,Boston College,,Texas State,Sun Belt,W,24,21,2,0,W 2,
"Oct 3, 2020",3:30 PM,Sat,Boston College,,(12) North Carolina,ACC,L,22,26,2,1,L 1,
"Oct 10, 2020",4:00 PM,Sat,Boston College,,Pitt,ACC,W,31,30,3,1,W 1,
"Oct 17, 2020",8:00 PM,Sat,Boston College,@,(23) Virginia Tech,ACC,L,14,40,3,2,L 1,
"Oct 24, 2020",4:00 PM,Sat,Boston College,,Georgia Tech,ACC,W,48,27,4,2,W 1,
"Oct 31, 2020",12:00 PM,Sat,Boston College,@,(1) Clemson,ACC,L,28,34,4,3,L 1,
"Nov 7, 2020",2:00 PM,Sat,Boston College,@,Syracuse,ACC,W,16,13,5,3,W 1,
"Nov 14, 2020",3:30 PM,Sat,Boston College,,(2) Notre Dame,ACC,L,31,45,5,4,L 1,
"Nov 28, 2020",4:00 PM,Sat,Boston College,,Louisville,ACC,W,34,27,6,4,W 1,"Alumni Stadium - Chestnut Hill, Massachusetts"
"Dec 5, 2020",3:30 PM,Sat,Boston College,@,Virginia,ACC,L,32,43,6,5,L 1,
