Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
"Sep 12, 2020",12:00 PM,Sat,Louisiana,@,(23) Iowa State,Big 12,W,31,14,1,0,W 1,
"Sep 19, 2020",12:00 PM,Sat,Louisiana,@,Georgia State,Sun Belt,W,34,31,2,0,W 2,
"Sep 26, 2020",12:00 PM,Sat,(19) Louisiana,,Georgia Southern,Sun Belt,W,20,18,3,0,W 3,
"Oct 14, 2020",12:00 PM,Wed,(21) Louisiana,,Coastal Carolina,Sun Belt,L,27,30,3,1,L 1,
"Oct 23, 2020",8:00 PM,Fri,Louisiana,@,UAB,CUSA,W,24,20,4,1,W 1,
"Oct 31, 2020",8:00 PM,Sat,Louisiana,@,Texas State,Sun Belt,W,44,34,5,1,W 2,
"Nov 7, 2020",12:00 PM,Sat,Louisiana,,Arkansas State,Sun Belt,W,27,20,6,1,W 3,"Cajun Field - Lafayette, Louisiana"
"Nov 14, 2020",2:00 PM,Sat,(25) Louisiana,,South Alabama,Sun Belt,W,38,10,7,1,W 4,
"Nov 28, 2020",3:00 PM,Sat,(23) Louisiana,@,Louisiana-Monroe,Sun Belt,W,70,20,8,1,W 5,
"Dec 4, 2020",8:30 PM,Fri,(20) Louisiana,@,Appalachian State,Sun Belt,W,24,21,9,1,W 6,
"Dec 26, 2020",3:30 PM,Sat,(16) Louisiana,N,UTSA,CUSA,W,31,24,10,1,W 7,"First Responder Bowl (Gerald J. Ford Stadium - Dallas, Texas)"
