Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
"Sep 12, 2020",1:30 PM,Sat,Louisiana-Monroe,@,Army,Ind,L,7,37,0,1,L 1,
"Sep 19, 2020",7:30 PM,Sat,Louisiana-Monroe,,Texas State,Sun Belt,L,17,38,0,2,L 2,
"Sep 26, 2020",3:30 PM,Sat,Louisiana-Monroe,,UTEP,CUSA,L,6,31,0,3,L 3,
"Oct 3, 2020",7:00 PM,Sat,Louisiana-Monroe,,Georgia Southern,Sun Belt,L,30,35,0,4,L 4,
"Oct 10, 2020",12:00 PM,Sat,Louisiana-Monroe,@,Liberty,Ind,L,7,40,0,5,L 5,
"Oct 24, 2020",7:00 PM,Sat,Louisiana-Monroe,@,South Alabama,Sun Belt,L,14,38,0,6,L 6,"Hancock Whitney Stadium - Mobile, Alabama"
"Oct 31, 2020",4:00 PM,Sat,Louisiana-Monroe,,Appalachian State,Sun Belt,L,13,31,0,7,L 7,
"Nov 7, 2020",12:00 PM,Sat,Louisiana-Monroe,@,Georgia State,Sun Belt,L,34,52,0,8,L 8,
"Nov 28, 2020",3:00 PM,Sat,Louisiana-Monroe,,(23) Louisiana,Sun Belt,L,20,70,0,9,L 9,
"Dec 5, 2020",3:00 PM,Sat,Louisiana-Monroe,@,Arkansas State,Sun Belt,L,15,48,0,10,L 10,
