Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
"Sep 5, 2020",1:00 PM,Sat,Marshall,,Eastern Kentucky,Non-Major,W,59,0,1,0,W 1,
"Sep 19, 2020",3:30 PM,Sat,Marshall,,(23) Appalachian State,Sun Belt,W,17,7,2,0,W 2,
"Oct 10, 2020",7:30 PM,Sat,Marshall,@,Western Kentucky,CUSA,W,38,14,3,0,W 3,
"Oct 17, 2020",6:00 PM,Sat,Marshall,@,Louisiana Tech,CUSA,W,35,17,4,0,W 4,
"Oct 24, 2020",2:30 PM,Sat,(22) Marshall,,Florida Atlantic,CUSA,W,20,9,5,0,W 5,
"Nov 7, 2020",2:30 PM,Sat,(16) Marshall,,Massachusetts,Ind,W,51,10,6,0,W 6,
"Nov 14, 2020",12:00 PM,Sat,(16) Marshall,,Middle Tennessee State,CUSA,W,42,14,7,0,W 7,
"Dec 5, 2020",12:00 PM,Sat,(15) Marshall,,Rice,CUSA,L,0,20,7,1,L 1,
"Dec 18, 2020",7:00 PM,Fri,Marshall,,UAB,CUSA,L,13,22,7,2,L 2,CUSA Championship Game
"Dec 25, 2020",2:30 PM,Fri,Marshall,N,Buffalo,MAC,L,10,17,7,3,L 3,"Camellia Bowl (Cramton Bowl - Montgomery, Alabama)"
