Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
"Sep 3, 2020",8:00 PM,Thu,South Alabama,@,Southern Mississippi,CUSA,W,32,21,1,0,W 1,
"Sep 12, 2020",7:30 PM,Sat,South Alabama,,Tulane,American,L,24,27,1,1,L 1,
"Sep 24, 2020",12:00 PM,Thu,South Alabama,,UAB,CUSA,L,10,42,1,2,L 2,
"Oct 17, 2020",12:00 PM,Sat,South Alabama,,Texas State,Sun Belt,W,30,20,2,2,W 1,
"Oct 24, 2020",7:00 PM,Sat,South Alabama,,Louisiana-Monroe,Sun Belt,W,38,14,3,2,W 2,"Hancock Whitney Stadium - Mobile, Alabama"
"Oct 29, 2020",12:00 PM,Thu,South Alabama,@,Georgia Southern,Sun Belt,L,17,24,3,3,L 1,
"Nov 7, 2020",8:00 PM,Sat,South Alabama,@,(15) Coastal Carolina,Sun Belt,L,6,23,3,4,L 2,
"Nov 14, 2020",2:00 PM,Sat,South Alabama,@,(25) Louisiana,Sun Belt,L,10,38,3,5,L 3,
"Nov 21, 2020",4:00 PM,Sat,South Alabama,,Georgia State,Sun Belt,L,14,31,3,6,L 4,
"Nov 28, 2020",3:00 PM,Sat,South Alabama,@,Arkansas State,Sun Belt,W,38,31,4,6,W 1,
"Dec 5, 2020",2:00 PM,Sat,South Alabama,,Troy,Sun Belt,L,0,29,4,7,L 1,
