Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
"Sep 5, 2020",4:30 PM,Sat,SMU,@,Texas State,Sun Belt,W,31,24,1,0,W 1,
"Sep 19, 2020",6:00 PM,Sat,SMU,@,North Texas,CUSA,W,65,35,2,0,W 2,
"Sep 26, 2020",7:00 PM,Sat,SMU,,Stephen F. Austin,Non-Major,W,50,7,3,0,W 3,
"Oct 3, 2020",3:30 PM,Sat,SMU,,(25) Memphis,American,W,30,27,4,0,W 4,
"Oct 16, 2020",6:00 PM,Fri,(17) SMU,@,Tulane,American,W,37,34,5,0,W 5,
"Oct 24, 2020",9:00 PM,Sat,(16) SMU,,(9) Cincinnati,American,L,13,42,5,1,L 1,
"Oct 31, 2020",7:30 PM,Sat,(22) SMU,,Navy,American,W,51,37,6,1,W 1,
"Nov 7, 2020",12:00 PM,Sat,(18) SMU,@,Temple,American,W,47,23,7,1,W 2,"Lincoln Financial Field - Philadelphia, Pennsylvania"
"Nov 14, 2020",7:00 PM,Sat,(19) SMU,@,Tulsa,American,L,24,28,7,2,L 1,
"Nov 28, 2020",12:00 PM,Sat,SMU,@,East Carolina,American,L,38,52,7,3,L 2,
