Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
"Sep 12, 2020",3:30 PM,Sat,UTSA,@,Texas State,Sun Belt,W,51,48,1,0,W 1,
"Sep 19, 2020",3:00 PM,Sat,UTSA,,Stephen F. Austin,Non-Major,W,24,10,2,0,W 2,
"Sep 25, 2020",8:00 PM,Fri,UTSA,,Middle Tennessee State,CUSA,W,37,35,3,0,W 3,
"Oct 3, 2020",12:30 PM,Sat,UTSA,@,UAB,CUSA,L,13,21,3,1,L 1,
"Oct 10, 2020",3:30 PM,Sat,UTSA,@,(15) BYU,Ind,L,20,27,3,2,L 2,
"Oct 17, 2020",1:30 PM,Sat,UTSA,,Army,Ind,L,16,28,3,3,L 3,
"Oct 24, 2020",8:00 PM,Sat,UTSA,,Louisiana Tech,CUSA,W,27,26,4,3,W 1,
"Oct 31, 2020",12:00 PM,Sat,UTSA,@,Florida Atlantic,CUSA,L,3,24,4,4,L 1,
"Nov 14, 2020",3:00 PM,Sat,UTSA,,UTEP,CUSA,W,52,21,5,4,W 1,
"Nov 21, 2020",3:00 PM,Sat,UTSA,@,Southern Mississippi,CUSA,W,23,20,6,4,W 2,
"Nov 28, 2020",3:00 PM,Sat,UTSA,,North Texas,CUSA,W,49,17,7,4,W 3,
"Dec 26, 2020",3:30 PM,Sat,UTSA,N,(16) Louisiana,Sun Belt,L,24,31,7,5,L 1,"First Responder Bowl (Gerald J. Ford Stadium - Dallas, Texas)"
