Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
"Sep 5, 2020",4:30 PM,Sat,Texas State,,SMU,American,L,24,31,0,1,L 1,
"Sep 12, 2020",3:30 PM,Sat,Texas State,,UTSA,CUSA,L,48,51,0,2,L 2,
"Sep 19, 2020",7:30 PM,Sat,Texas State,@,Louisiana-Monroe,Sun Belt,W,38,17,1,2,W 1,
"Sep 26, 2020",6:00 PM,Sat,Texas State,@,Boston College,ACC,L,21,24,1,3,L 1,
"Oct 10, 2020",3:30 PM,Sat,Texas State,@,Troy,Sun Belt,L,17,37,1,4,L 2,"Veterans Memorial Stadium - Troy, Alabama"
"Oct 17, 2020",12:00 PM,Sat,Texas State,@,South Alabama,Sun Belt,L,20,30,1,5,L 3,
"Oct 24, 2020",10:15 PM,Sat,Texas State,@,(12) BYU,Ind,L,14,52,1,6,L 4,
"Oct 31, 2020",8:00 PM,Sat,Texas State,,Louisiana,Sun Belt,L,34,44,1,7,L 5,
"Nov 7, 2020",3:00 PM,Sat,Texas State,,Appalachian State,Sun Belt,L,17,38,1,8,L 6,
"Nov 14, 2020",3:30 PM,Sat,Texas State,@,Georgia Southern,Sun Belt,L,38,40,1,9,L 7,
"Nov 21, 2020",12:00 PM,Sat,Texas State,,Arkansas State,Sun Belt,W,47,45,2,9,W 1,
"Nov 28, 2020",3:00 PM,Sat,Texas State,,(16) Coastal Carolina,Sun Belt,L,14,49,2,10,L 1,
