Date,Time,Day,School,,Opponent,Conf,,Pts,Opp,W,L,Streak,Notes
"Sep 19, 2020",4:00 PM,Sat,Troy,@,Middle Tennessee State,CUSA,W,47,14,1,0,W 1,
"Sep 26, 2020",10:15 PM,Sat,Troy,@,(18) BYU,Ind,L,7,48,1,1,L 1,
"Oct 10, 2020",3:30 PM,Sat,Troy,,Texas State,Sun Belt,W,37,17,2,1,W 1,"Veterans Memorial Stadium - Troy, Alabama"
"Oct 17, 2020",3:30 PM,Sat,Troy,,Eastern Kentucky,Non-Major,W,31,29,3,1,W 2,
"Oct 24, 2020",4:00 PM,Sat,Troy,,Georgia State,Sun Belt,L,34,36,3,2,L 1,
"Oct 31, 2020",3:00 PM,Sat,Troy,@,Arkansas State,Sun Belt,W,38,10,4,2,W 1,
"Nov 7, 2020",1:00 PM,Sat,Troy,@,Georgia Southern,Sun Belt,L,13,20,4,3,L 1,
"Nov 21, 2020",3:30 PM,Sat,Troy,,Middle Tennessee State,CUSA,L,17,20,4,4,L 2,
"Nov 28, 2020",8:00 PM,Sat,Troy,@,Appalachian State,Sun Belt,L,10,47,4,5,L 3,
"Dec 5, 2020",2:00 PM,Sat,Troy,@,South Alabama,Sun Belt,W,29,0,5,5,W 1,
"Dec 12, 2020",3:00 PM,Sat,Troy,,(11) Coastal Carolina,Sun Belt,L,38,42,5,6,L 1,"Veterans Memorial Stadium - Troy, Alabama"
